claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A1K7FKUQ1EHVAZ,3,1,1,,1
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A1JDPMVFB8HNMH,6,6,5,RACE: White,5
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A3AAJIOULPV12E,5,5,5,RACE: White,4
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A10Q1TJDW26M30,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A1NN61ZAXV9FR0,3,6,4,RACE: White,5
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A3AAJIOULPV12E,6,4,4,RACE: White,3
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: African American; RACE: White,1
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A1NN61ZAXV9FR0,4,3,3,RACE: White,5
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A2ATPVV665TR66,6,6,5,,6
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A3U5FZX51JBFQW,5,5,5,RACE: White,6
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A1K7FKUQ1EHVAZ,5,3,3,,1
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A3U5FZX51JBFQW,5,5,6,RACE: White,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A1JDPMVFB8HNMH,5,5,4,RACE: White,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2ATPVV665TR66,6,6,5,NONE,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A1K7FKUQ1EHVAZ,5,1,4,,1
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A3AAJIOULPV12E,4,3,6,RACE: White,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A10Q1TJDW26M30,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A2ATPVV665TR66,6,6,6,,6
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A3AAJIOULPV12E,4,6,4,RACE: White,4
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: African American; RACE: White,1
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A19BG3DNCB8371,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A day contains 24 hours.,public.us-east-1.A3U5FZX51JBFQW,6,5,5,RACE: White,4
A day contains 24 hours.,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A day contains 24 hours.,public.us-east-1.A3ISXIUWYFY64O,5,6,4,RACE: White,3
A day contains 24 hours.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A day contains 24 hours.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
A day contains 24 hours.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
A day contains 24 hours.,public.us-east-1.A2BL85FF81CS3,5,1,1,,4
A day contains 24 hours.,public.us-east-1.A2ATPVV665TR66,6,5,5,NONE,6
A day contains 24 hours.,public.us-east-1.A3AAJIOULPV12E,5,4,4,RACE: White,5
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A2Q99XBBVXFPG7,6,5,6,NONE,1
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A19BG3DNCB8371,5,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A3AAJIOULPV12E,5,6,5,RACE: White,4
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A2BL85FF81CS3,5,4,1,RACE: White,1
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A1NN61ZAXV9FR0,2,5,6,RACE: White,4
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A2ATPVV665TR66,5,6,6,RACE: White,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A15QVZHXJYWO31,6,5,5,GENDER: Women,3
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A10Q1TJDW26M30,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A2BL85FF81CS3,5,1,5,,1
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A2ATPVV665TR66,6,6,6,RACE: White,6
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A3AAJIOULPV12E,1,5,3,RACE: White,2
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,RACE: White,1
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A3JGB3OMTOWR6I,2,4,3,RACE: White,6
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,,1
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A3AAJIOULPV12E,3,5,4,RACE: White,5
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A2BL85FF81CS3,5,1,1,,1
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A2ATPVV665TR66,6,5,6,,6
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,,1
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A1JDPMVFB8HNMH,6,6,5,RACE: White,5
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A3AAJIOULPV12E,5,4,3,RACE: White,5
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A2ATPVV665TR66,6,6,6,NONE,6
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A3U5FZX51JBFQW,5,5,4,RACE: White,4
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A3AAJIOULPV12E,6,5,4,RACE: White,3
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A10Q1TJDW26M30,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2ATPVV665TR66,4,6,6,RACE: White,5
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A2Q99XBBVXFPG7,5,4,4,NONE,5
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A1NN61ZAXV9FR0,2,5,6,RACE: White,4
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A2BL85FF81CS3,5,1,4,,5
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,,1
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A2ATPVV665TR66,5,6,6,RACE: White,6
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A3AAJIOULPV12E,5,5,3,RACE: White,2
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A47LXYTWFIB6F,5,5,6,,6
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A26BQOPGB12IXD,3,3,2,GENDER: Transgender / Non-binary; RACE: Hispanic; SEXUAL ORIENTATION: LGBTQ,4
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A2RRRIDXT8IC1Z,5,5,2,NONE,3
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A3JGB3OMTOWR6I,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A3AAJIOULPV12E,4,4,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A1E7VDDO8OPXNG,5,5,4,NONE,3
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A1NN61ZAXV9FR0,6,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A2F1VWINKE769G,3,3,4,GENDER: Women; RACE: White,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2RAXDXAJ13EYX,3,3,3,,2
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A47LXYTWFIB6F,4,5,5,,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2VTNO389Z7GZZ,5,5,4,NONE,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2BC5O377KEL6N,5,5,4,,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,3,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A3AAJIOULPV12E,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1NN61ZAXV9FR0,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A3UFJ3TBCTNCLQ,5,5,5,GENDER: Men; RACE: White,4
Ice melts when heated.,public.us-east-1.A3JGB3OMTOWR6I,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A1JDPMVFB8HNMH,3,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Ice melts when heated.,public.us-east-1.A3AAJIOULPV12E,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Ice melts when heated.,public.us-east-1.A1NN61ZAXV9FR0,6,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Ice melts when heated.,public.us-east-1.A2RRRIDXT8IC1Z,5,5,3,NONE,3
Ice melts when heated.,public.us-east-1.A2F1VWINKE769G,3,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A1E7VDDO8OPXNG,5,5,3,NONE,4
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A3UFJ3TBCTNCLQ,4,5,5,GENDER: Men; RACE: White,4
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A26BQOPGB12IXD,3,5,3,GENDER: Transgender / Non-binary; RACE: East or South Asian; SEXUAL ORIENTATION: Heterosexual,5
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A3JGB3OMTOWR6I,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A12KQGDA5YYCW7,4,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A1NN61ZAXV9FR0,6,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A3AAJIOULPV12E,4,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A2ATPVV665TR66,3,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A1E7VDDO8OPXNG,2,3,2,NONE,3
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A178BXD4UBX932,4,5,4,NONE,3
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A47LXYTWFIB6F,5,5,6,,6
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A26BQOPGB12IXD,3,4,3,GENDER: Transgender / Non-binary; RACE: African American; SEXUAL ORIENTATION: Heterosexual,4
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A3UFJ3TBCTNCLQ,4,5,5,GENDER: Men; RACE: White,4
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A3AAJIOULPV12E,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A3JGB3OMTOWR6I,6,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1NN61ZAXV9FR0,6,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1JDPMVFB8HNMH,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A47LXYTWFIB6F,5,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men,5
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A2BC5O377KEL6N,4,4,5,,5
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A26BQOPGB12IXD,4,4,3,GENDER: Transgender / Non-binary; RACE: African American; SEXUAL ORIENTATION: LGBTQ,5
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A10Q1TJDW26M30,6,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A1BLDWE3JYO1O,4,4,5,,6
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A2RAXDXAJ13EYX,3,4,2,,2
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A2BC5O377KEL6N,5,5,4,,4
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A245B3Q3BILZCL,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A10Q1TJDW26M30,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A2ATPVV665TR66,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A12KQGDA5YYCW7,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.AI91L9BSP6NBM,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A1NN61ZAXV9FR0,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortion causes breast cancer.,public.us-east-1.A2RAXDXAJ13EYX,2,2,3,,3
Abortion causes breast cancer.,public.us-east-1.A3JGB3OMTOWR6I,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortion causes breast cancer.,public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
Abortion causes breast cancer.,public.us-east-1.A28LVKN22K756,6,5,2,GENDER: Women,2
Abortion causes breast cancer.,public.us-east-1.A26BQOPGB12IXD,5,5,2,GENDER: Women; RACE: African American; SEXUAL ORIENTATION: Heterosexual,4
Abortion causes breast cancer.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Abortion causes breast cancer.,public.us-east-1.A2ATPVV665TR66,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
