claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
Canada has passed a law that “made it illegal to protest against” the LGBTQ+ community.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"The US Navy has sent two warships to Thitu Island, also known as Pag-asa Island, to deter Chinese military presence near the area.",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"The US Navy has sent two warships to Thitu Island, also known as Pag-asa Island, to deter Chinese military presence near the area.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Walgreens sells abortion pills,public.us-east-1.A2Q99XBBVXFPG7,5,5,5,NONE,2
Walgreens sells abortion pills,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
Walgreens sells abortion pills,public.us-east-1.A1SCF3L6LTFQHF,5,4,1,NONE,6
Walgreens sells abortion pills,public.us-east-1.A12KQGDA5YYCW7,5,5,6,RACE: White,6
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A2Q99XBBVXFPG7,6,4,4,NONE,1
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A2Q99XBBVXFPG7,4,4,4,NONE,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Paris is located in France.,public.us-east-1.A2Q99XBBVXFPG7,5,5,5,NONE,1
Paris is located in France.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
"The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Beef comes from cows.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Beef comes from cows.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
All diseases can be spread through radio waves.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,1
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The moon orbits around the Earth.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
The moon orbits around the Earth.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The Great Wall of China was built entirely by one person,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
The Great Wall of China was built entirely by one person,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Las Vegas is located in the state of Nevada.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
Las Vegas is located in the state of Nevada.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Las Vegas is located in the state of Nevada.,public.us-east-1.A28LVKN22K756,6,4,5,GENDER: Women,2
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A day contains 24 hours.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A2Q99XBBVXFPG7,6,5,6,NONE,1
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A2Q99XBBVXFPG7,5,4,4,NONE,5
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A12KQGDA5YYCW7,3,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A12KQGDA5YYCW7,4,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.A12KQGDA5YYCW7,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.AI91L9BSP6NBM,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortion causes breast cancer.,public.us-east-1.A28LVKN22K756,6,5,2,GENDER: Women,2
Abortion causes breast cancer.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Abortion causes breast cancer.,public.us-east-1.A12KQGDA5YYCW7,4,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A28LVKN22K756,5,6,5,GENDER: Women,2
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",public.us-east-1.A12KQGDA5YYCW7,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Abortions can be induced using pills.,public.us-east-1.A12KQGDA5YYCW7,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A circle is round.,public.us-east-1.A12KQGDA5YYCW7,4,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A2WSWG9IQ0ZOC8,6,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,1
Progesterone can be used for abortion reversal after taking mifepristone,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A12KQGDA5YYCW7,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A12KQGDA5YYCW7,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
California is sending money to all LGBTQ residents.,public.us-east-1.A12KQGDA5YYCW7,2,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",public.us-east-1.A12KQGDA5YYCW7,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A bicycle has two wheels.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
A bicycle has two wheels.,public.us-east-1.A12KQGDA5YYCW7,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
44 Percent of Black People Do Have HIV,public.us-east-1.A12KQGDA5YYCW7,3,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
People require oxygen to survive.,public.us-east-1.A12KQGDA5YYCW7,3,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Illegal immigrants receive welfare benefits.,public.us-east-1.A1PZNXUXSW2MH0,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Illegal immigrants receive welfare benefits.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.A12KQGDA5YYCW7,4,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"“More contraception availability increases abortion demand.""",public.us-east-1.A12KQGDA5YYCW7,4,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A day contains 24 hours.,public.us-east-1.A12KQGDA5YYCW7,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Walgreens sells abortion pills,public.us-east-1.A12KQGDA5YYCW7,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",public.us-east-1.A12KQGDA5YYCW7,3,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The iconic red leather jacket worn by Michael Jackson in his ""Thriller"" music video sold at auction for $110 million.",public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Las Vegas is located in the state of Nevada.,public.us-east-1.A1MHUF6WJDR4A2,2,2,1,NONE,1
Las Vegas is located in the state of Nevada.,public.us-east-1.A12KQGDA5YYCW7,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The moon orbits around the Earth.,public.us-east-1.A12KQGDA5YYCW7,3,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Beef comes from cows.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Beef comes from cows.,public.us-east-1.A12KQGDA5YYCW7,3,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,public.us-east-1.A1PZNXUXSW2MH0,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",public.us-east-1.A12KQGDA5YYCW7,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
All diseases can be spread through radio waves.,public.us-east-1.A12KQGDA5YYCW7,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
“U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Officials are giving Social Security numbers to immigrants at the US border,public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
U.S. President Donald Trump kissed California Gov. Gavin Newsom on the lips.,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A week contains seven days.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
A week contains seven days.,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A12KQGDA5YYCW7,4,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Apples are a type of fruit.,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White,4
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A1PZNXUXSW2MH0,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.A12KQGDA5YYCW7,2,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An almond is a type of nut.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
An almond is a type of nut.,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An hour contains 60 minutes.,public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Paris is located in France.,public.us-east-1.A12KQGDA5YYCW7,3,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Water is a liquid at room temperature.,public.us-east-1.A12KQGDA5YYCW7,4,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"In the US, over 90% of abortions occur in the first trimester of pregnancy (at or before 16 weeks of gestation)",public.us-east-1.A12KQGDA5YYCW7,4,3,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"The US Navy has sent two warships to Thitu Island, also known as Pag-asa Island, to deter Chinese military presence near the area.",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The Great Wall of China was built entirely by one person,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The Great Wall of China was built entirely by one person,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
The Great Wall of China was built entirely by one person,public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",public.us-east-1.A12KQGDA5YYCW7,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,public.us-east-1.A12KQGDA5YYCW7,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A28LVKN22K756,6,6,3,GENDER: Women,2
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Diamonds are very expensive.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
Diamonds are very expensive.,public.us-east-1.A12KQGDA5YYCW7,3,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A12KQGDA5YYCW7,3,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Obama changed Black Music Month to Pride Month,public.us-east-1.A12KQGDA5YYCW7,4,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,public.us-east-1.A12KQGDA5YYCW7,4,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A2Q99XBBVXFPG7,2,5,4,NONE,5
44 Percent of Black People Do Have HIV,public.us-east-1.A28LVKN22K756,5,6,5,GENDER: Women,2
44 Percent of Black People Do Have HIV,public.us-east-1.ABDWWV9GFHVQ5,5,5,6,RACE: African American,6
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,public.us-east-1.A2Q99XBBVXFPG7,4,5,5,NONE,5
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A3QGZ31LEUFJV1,3,2,4,NONE,4
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,3
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.A2Q99XBBVXFPG7,6,6,6,GENDER: Women,1
Abortions can save the life of a pregnant woman in certain medical emergencies.,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,1
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,3
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,public.us-east-1.ABDWWV9GFHVQ5,3,4,1,NONE,6
Walgreens sells abortion pills,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Walgreens sells abortion pills,public.us-east-1.ABDWWV9GFHVQ5,5,5,5,GENDER: Women,3
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,4
Ice melts when heated.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
A day contains 24 hours.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
A day contains 24 hours.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
"The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",public.us-east-1.ABDWWV9GFHVQ5,4,2,1,NONE,3
"In the US, over 90% of abortions occur in the first trimester of pregnancy (at or before 16 weeks of gestation)",public.us-east-1.ABDWWV9GFHVQ5,5,5,3,GENDER: Women,2
"The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",public.us-east-1.ABDWWV9GFHVQ5,5,5,3,RACE: East or South Asian,3
Joe Biden has four eyes on the top of his head.,public.us-east-1.A3QGZ31LEUFJV1,1,6,4,NONE,1
Joe Biden has four eyes on the top of his head.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,6
Beef comes from cows.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Beef comes from cows.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,5
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.A2Q99XBBVXFPG7,3,4,4,NONE,6
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,5
An hour contains 60 minutes.,public.us-east-1.A28LVKN22K756,5,5,4,GENDER: Women,5
An hour contains 60 minutes.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
Paris is located in France.,public.us-east-1.ABDWWV9GFHVQ5,2,2,1,NONE,1
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.ABDWWV9GFHVQ5,5,5,4,RACE: Hispanic,6
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.ABDWWV9GFHVQ5,3,3,1,NONE,6
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",public.us-east-1.A3QGZ31LEUFJV1,2,5,2,NONE,4
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",public.us-east-1.A21X60VQIDZU4D,3,5,5,GENDER: Men; SEXUAL ORIENTATION: LGBTQ,3
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",public.us-east-1.ABDWWV9GFHVQ5,4,5,4,GENDER: Transgender / Non-binary; SEXUAL ORIENTATION: LGBTQ,4
US Congresswoman Katie Porter said pedophilia is a sexual identity,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,4
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A1PZNXUXSW2MH0,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.ABDWWV9GFHVQ5,4,5,4,RACE: Hispanic,4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,public.us-east-1.ABDWWV9GFHVQ5,5,5,5,SEXUAL ORIENTATION: LGBTQ,3
U.S. President Donald Trump kissed California Gov. Gavin Newsom on the lips.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
